"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Info"
"171","1.286106","10.135.49.223","128.119.245.12","TCP","1514","81009","1","1460","63344  >  80 [ACK] Seq=81009 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"172","1.286106","10.135.49.223","128.119.245.12","TCP","1514","82469","1","1460","63344  >  80 [PSH, ACK] Seq=82469 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"173","1.286106","10.135.49.223","128.119.245.12","TCP","1514","83929","1","1460","63344  >  80 [ACK] Seq=83929 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"174","1.286106","10.135.49.223","128.119.245.12","TCP","1514","85389","1","1460","63344  >  80 [ACK] Seq=85389 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"175","1.286106","10.135.49.223","128.119.245.12","TCP","1514","86849","1","1460","63344  >  80 [ACK] Seq=86849 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"176","1.286106","10.135.49.223","128.119.245.12","TCP","1514","88309","1","1460","63344  >  80 [ACK] Seq=88309 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"177","1.286106","10.135.49.223","128.119.245.12","TCP","1514","89769","1","1460","63344  >  80 [ACK] Seq=89769 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"178","1.286106","10.135.49.223","128.119.245.12","TCP","1514","91229","1","1460","63344  >  80 [ACK] Seq=91229 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"179","1.334970","142.251.42.14","10.135.49.223","QUIC","1001","","","","Protected Payload (KP0)"
"180","1.337552","142.251.42.14","10.135.49.223","QUIC","169","","","","Protected Payload (KP0)"
"181","1.337801","10.135.49.223","142.251.42.14","QUIC","73","","","","Protected Payload (KP0), DCID=ef14599a66e44a37"
"182","1.671583","128.119.245.12","10.135.49.223","TCP","54","1","47429","0","80  >  63344 [ACK] Seq=1 Ack=47429 Win=124160 Len=0"
"183","1.671707","10.135.49.223","128.119.245.12","TCP","1514","92689","1","1460","63344  >  80 [ACK] Seq=92689 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"184","1.671707","10.135.49.223","128.119.245.12","TCP","1514","94149","1","1460","63344  >  80 [ACK] Seq=94149 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"185","1.671707","10.135.49.223","128.119.245.12","TCP","1514","95609","1","1460","63344  >  80 [ACK] Seq=95609 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"186","1.671707","10.135.49.223","128.119.245.12","TCP","1514","97069","1","1460","63344  >  80 [ACK] Seq=97069 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"187","1.671707","10.135.49.223","128.119.245.12","TCP","1514","98529","1","1460","63344  >  80 [PSH, ACK] Seq=98529 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"188","1.671707","10.135.49.223","128.119.245.12","TCP","1514","99989","1","1460","63344  >  80 [ACK] Seq=99989 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"189","1.671707","10.135.49.223","128.119.245.12","TCP","1514","101449","1","1460","63344  >  80 [ACK] Seq=101449 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"190","1.671707","10.135.49.223","128.119.245.12","TCP","1514","102909","1","1460","63344  >  80 [ACK] Seq=102909 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"191","1.671707","10.135.49.223","128.119.245.12","TCP","1514","104369","1","1460","63344  >  80 [ACK] Seq=104369 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"192","1.671707","10.135.49.223","128.119.245.12","TCP","1514","105829","1","1460","63344  >  80 [ACK] Seq=105829 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"193","1.673107","128.119.245.12","10.135.49.223","TCP","54","1","50349","0","80  >  63344 [ACK] Seq=1 Ack=50349 Win=129920 Len=0"
"194","1.673198","10.135.49.223","128.119.245.12","TCP","1514","107289","1","1460","63344  >  80 [ACK] Seq=107289 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"195","1.673198","10.135.49.223","128.119.245.12","TCP","1514","108749","1","1460","63344  >  80 [ACK] Seq=108749 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"196","1.673198","10.135.49.223","128.119.245.12","TCP","1514","110209","1","1460","63344  >  80 [ACK] Seq=110209 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"197","1.673198","10.135.49.223","128.119.245.12","TCP","1514","111669","1","1460","63344  >  80 [ACK] Seq=111669 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"198","1.678268","128.119.245.12","10.135.49.223","TCP","54","1","54729","0","80  >  63344 [ACK] Seq=1 Ack=54729 Win=138752 Len=0"
"199","1.678364","10.135.49.223","128.119.245.12","TCP","1514","113129","1","1460","63344  >  80 [ACK] Seq=113129 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"200","1.678364","10.135.49.223","128.119.245.12","TCP","1514","114589","1","1460","63344  >  80 [PSH, ACK] Seq=114589 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"201","1.678364","10.135.49.223","128.119.245.12","TCP","1514","116049","1","1460","63344  >  80 [ACK] Seq=116049 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"202","1.678364","10.135.49.223","128.119.245.12","TCP","1514","117509","1","1460","63344  >  80 [ACK] Seq=117509 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"203","1.678364","10.135.49.223","128.119.245.12","TCP","1514","118969","1","1460","63344  >  80 [ACK] Seq=118969 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"204","1.678364","10.135.49.223","128.119.245.12","TCP","1514","120429","1","1460","63344  >  80 [ACK] Seq=120429 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"205","1.682040","128.119.245.12","10.135.49.223","TCP","54","1","62029","0","80  >  63344 [ACK] Seq=1 Ack=62029 Win=153344 Len=0"
"206","1.682040","128.119.245.12","10.135.49.223","TCP","54","1","66409","0","80  >  63344 [ACK] Seq=1 Ack=66409 Win=162048 Len=0"
"207","1.682040","128.119.245.12","10.135.49.223","TCP","54","1","69329","0","80  >  63344 [ACK] Seq=1 Ack=69329 Win=167936 Len=0"
"208","1.682212","10.135.49.223","128.119.245.12","TCP","1514","121889","1","1460","63344  >  80 [ACK] Seq=121889 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"209","1.682212","10.135.49.223","128.119.245.12","TCP","1514","123349","1","1460","63344  >  80 [ACK] Seq=123349 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"210","1.682212","10.135.49.223","128.119.245.12","TCP","1514","124809","1","1460","63344  >  80 [ACK] Seq=124809 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"211","1.682212","10.135.49.223","128.119.245.12","TCP","1514","126269","1","1460","63344  >  80 [ACK] Seq=126269 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"212","1.682212","10.135.49.223","128.119.245.12","TCP","1514","127729","1","1460","63344  >  80 [ACK] Seq=127729 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"213","1.682212","10.135.49.223","128.119.245.12","TCP","1514","129189","1","1460","63344  >  80 [ACK] Seq=129189 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"214","1.682212","10.135.49.223","128.119.245.12","TCP","1514","130649","1","1460","63344  >  80 [PSH, ACK] Seq=130649 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"215","1.682212","10.135.49.223","128.119.245.12","TCP","1514","132109","1","1460","63344  >  80 [ACK] Seq=132109 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"216","1.682212","10.135.49.223","128.119.245.12","TCP","1514","133569","1","1460","63344  >  80 [ACK] Seq=133569 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"217","1.682212","10.135.49.223","128.119.245.12","TCP","1514","135029","1","1460","63344  >  80 [ACK] Seq=135029 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"218","1.682212","10.135.49.223","128.119.245.12","TCP","1514","136489","1","1460","63344  >  80 [ACK] Seq=136489 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"219","1.682212","10.135.49.223","128.119.245.12","TCP","1514","137949","1","1460","63344  >  80 [ACK] Seq=137949 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"220","1.682212","10.135.49.223","128.119.245.12","TCP","1514","139409","1","1460","63344  >  80 [ACK] Seq=139409 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"221","1.682212","10.135.49.223","128.119.245.12","TCP","1514","140869","1","1460","63344  >  80 [ACK] Seq=140869 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"222","1.682212","10.135.49.223","128.119.245.12","TCP","1514","142329","1","1460","63344  >  80 [ACK] Seq=142329 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"223","1.682212","10.135.49.223","128.119.245.12","TCP","1514","143789","1","1460","63344  >  80 [ACK] Seq=143789 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
